ID,Produto,Categoria,Preco,Quantidade,Data_Venda,Vendedor,Total_Vendas
2456,Produto C,Categoria 3,93.75,6,2029-09-21,Vendedor 1,562.5
2457,Produto A,Categoria 1,81.97,8,2029-09-22,Vendedor 2,655.76
2458,Produto C,Categoria 2,48.95,18,2029-09-23,Vendedor 3,881.1
2459,Produto B,Categoria 3,54.38,18,2029-09-24,Vendedor 3,978.84
2460,Produto B,Categoria 2,33.9,17,2029-09-25,Vendedor 3,576.3
2461,Produto B,Categoria 2,73.39,16,2029-09-26,Vendedor 2,1174.24
2462,Produto A,Categoria 2,82.25,13,2029-09-27,Vendedor 1,1069.25
2463,Produto C,Categoria 1,31.5,4,2029-09-28,Vendedor 3,126.0
2464,Produto A,Categoria 2,13.76,4,2029-09-29,Vendedor 2,55.04
2465,Produto C,Categoria 1,66.15,14,2029-09-30,Vendedor 2,926.1000000000001
2466,Produto B,Categoria 1,60.63,5,2029-10-01,Vendedor 3,303.15000000000003
2467,Produto A,Categoria 2,46.19,16,2029-10-02,Vendedor 3,739.04
2468,Produto C,Categoria 2,67.95,14,2029-10-03,Vendedor 2,951.3000000000001
2469,Produto C,Categoria 2,59.56,14,2029-10-04,Vendedor 3,833.84
2470,Produto B,Categoria 2,32.55,14,2029-10-05,Vendedor 2,455.69999999999993
2471,Produto A,Categoria 1,45.8,14,2029-10-06,Vendedor 3,641.1999999999999
2472,Produto A,Categoria 2,48.53,19,2029-10-07,Vendedor 1,922.07
2473,Produto A,Categoria 2,89.22,3,2029-10-08,Vendedor 2,267.65999999999997
2474,Produto B,Categoria 1,96.48,17,2029-10-09,Vendedor 1,1640.16
2475,Produto A,Categoria 3,90.37,14,2029-10-10,Vendedor 3,1265.18
2476,Produto B,Categoria 3,74.73,10,2029-10-11,Vendedor 2,747.3000000000001
2477,Produto B,Categoria 1,62.65,13,2029-10-12,Vendedor 3,814.4499999999999
2478,Produto B,Categoria 3,72.03,4,2029-10-13,Vendedor 2,288.12
2479,Produto C,Categoria 1,94.52,11,2029-10-14,Vendedor 3,1039.72
2480,Produto A,Categoria 2,32.5,15,2029-10-15,Vendedor 1,487.5
2481,Produto A,Categoria 2,58.16,15,2029-10-16,Vendedor 1,872.4
2482,Produto B,Categoria 3,72.06,2,2029-10-17,Vendedor 3,144.12
2483,Produto B,Categoria 2,71.13,11,2029-10-18,Vendedor 1,782.43
2484,Produto A,Categoria 3,32.71,2,2029-10-19,Vendedor 1,65.42
2485,Produto B,Categoria 3,62.81,5,2029-10-20,Vendedor 3,314.05
2486,Produto A,Categoria 2,81.63,13,2029-10-21,Vendedor 2,1061.19
2487,Produto C,Categoria 2,52.76,1,2029-10-22,Vendedor 3,52.76
2488,Produto B,Categoria 3,81.4,7,2029-10-23,Vendedor 2,569.8000000000001
2489,Produto A,Categoria 2,42.39,7,2029-10-24,Vendedor 1,296.73
2490,Produto B,Categoria 1,94.49,10,2029-10-25,Vendedor 1,944.9
2491,Produto A,Categoria 2,58.05,6,2029-10-26,Vendedor 1,348.29999999999995
2492,Produto A,Categoria 2,63.64,12,2029-10-27,Vendedor 1,763.6800000000001
2493,Produto B,Categoria 1,12.82,13,2029-10-28,Vendedor 1,166.66
2494,Produto C,Categoria 2,25.32,11,2029-10-29,Vendedor 2,278.52
2495,Produto A,Categoria 2,66.96,18,2029-10-30,Vendedor 2,1205.28
2496,Produto A,Categoria 3,47.79,2,2029-10-31,Vendedor 2,95.58
2497,Produto A,Categoria 2,55.73,16,2029-11-01,Vendedor 3,891.68
2498,Produto C,Categoria 2,15.67,2,2029-11-02,Vendedor 1,31.34
2499,Produto C,Categoria 1,85.07,19,2029-11-03,Vendedor 1,1616.33
2500,Produto B,Categoria 3,80.61,6,2029-11-04,Vendedor 1,483.65999999999997
2501,Produto C,Categoria 3,26.68,1,2029-11-05,Vendedor 3,26.68
2502,Produto B,Categoria 3,67.09,11,2029-11-06,Vendedor 3,737.99
2503,Produto B,Categoria 2,83.65,18,2029-11-07,Vendedor 3,1505.7
2504,Produto C,Categoria 3,67.68,10,2029-11-08,Vendedor 1,676.8000000000001
2505,Produto B,Categoria 1,37.94,18,2029-11-09,Vendedor 2,682.92
2506,Produto C,Categoria 3,69.05,1,2029-11-10,Vendedor 3,69.05
2507,Produto B,Categoria 1,28.94,19,2029-11-11,Vendedor 3,549.86
2508,Produto C,Categoria 3,38.64,16,2029-11-12,Vendedor 2,618.24
2509,Produto C,Categoria 3,31.61,7,2029-11-13,Vendedor 3,221.26999999999998
2510,Produto B,Categoria 1,60.12,15,2029-11-14,Vendedor 2,901.8
2511,Produto A,Categoria 3,19.74,1,2029-11-15,Vendedor 1,19.74
2512,Produto B,Categoria 3,94.0,9,2029-11-16,Vendedor 2,846.0
2513,Produto C,Categoria 3,40.02,2,2029-11-17,Vendedor 2,80.04
2514,Produto A,Categoria 2,29.71,17,2029-11-18,Vendedor 1,505.07
2515,Produto B,Categoria 1,54.69,10,2029-11-19,Vendedor 3,546.9
2516,Produto B,Categoria 3,34.93,6,2029-11-20,Vendedor 1,209.57999999999998
2517,Produto B,Categoria 1,58.14,5,2029-11-21,Vendedor 3,290.7
2518,Produto A,Categoria 1,41.37,8,2029-11-22,Vendedor 3,330.96
2519,Produto C,Categoria 1,21.89,8,2029-11-23,Vendedor 2,175.12
2520,Produto B,Categoria 3,33.93,5,2029-11-24,Vendedor 1,169.65
2521,Produto B,Categoria 3,49.46,12,2029-11-25,Vendedor 2,593.52
2522,Produto B,Categoria 1,12.73,7,2029-11-26,Vendedor 1,89.11
2523,Produto B,Categoria 2,79.36,13,2029-11-27,Vendedor 1,1031.68
2524,Produto B,Categoria 1,65.96,13,2029-11-28,Vendedor 2,857.4799999999999
2525,Produto C,Categoria 2,64.12,17,2029-11-29,Vendedor 3,1090.04
2526,Produto C,Categoria 1,59.14,4,2029-11-30,Vendedor 3,236.56
2527,Produto B,Categoria 1,63.13,18,2029-12-01,Vendedor 1,1136.3400000000001
2528,Produto A,Categoria 1,94.12,10,2029-12-02,Vendedor 3,941.2
2529,Produto C,Categoria 3,10.77,3,2029-12-03,Vendedor 2,32.31
2530,Produto A,Categoria 2,14.3,12,2029-12-04,Vendedor 2,171.60000000000002
2531,Produto C,Categoria 2,27.23,1,2029-12-05,Vendedor 2,27.23
2532,Produto B,Categoria 1,25.06,11,2029-12-06,Vendedor 1,275.65999999999997
2533,Produto C,Categoria 3,26.31,18,2029-12-07,Vendedor 1,473.58
2534,Produto B,Categoria 3,70.47,13,2029-12-08,Vendedor 3,916.11
2535,Produto C,Categoria 2,51.35,17,2029-12-09,Vendedor 2,872.95
2536,Produto B,Categoria 3,99.26,8,2029-12-10,Vendedor 2,794.08
2537,Produto B,Categoria 2,30.42,19,2029-12-11,Vendedor 1,577.98
2538,Produto B,Categoria 2,37.97,17,2029-12-12,Vendedor 1,645.49
2539,Produto B,Categoria 2,98.58,2,2029-12-13,Vendedor 1,197.16
2540,Produto A,Categoria 3,84.86,3,2029-12-14,Vendedor 2,254.57999999999998
2541,Produto B,Categoria 2,52.28,3,2029-12-15,Vendedor 2,156.84
2542,Produto A,Categoria 2,59.91,6,2029-12-16,Vendedor 3,359.46
2543,Produto A,Categoria 1,85.89,10,2029-12-17,Vendedor 2,858.9
2544,Produto B,Categoria 2,53.29,18,2029-12-18,Vendedor 3,959.22
2545,Produto A,Categoria 2,28.54,18,2029-12-19,Vendedor 3,513.72
2546,Produto C,Categoria 1,84.56,14,2029-12-20,Vendedor 2,1183.8400000000001
2547,Produto B,Categoria 1,58.4,16,2029-12-21,Vendedor 3,934.4
2548,Produto A,Categoria 3,23.77,7,2029-12-22,Vendedor 3,166.39
2549,Produto B,Categoria 2,55.5,1,2029-12-23,Vendedor 1,55.5
2550,Produto B,Categoria 3,47.19,17,2029-12-24,Vendedor 2,802.23
2551,Produto B,Categoria 3,88.92,5,2029-12-25,Vendedor 3,444.6
2552,Produto A,Categoria 1,21.34,1,2029-12-26,Vendedor 3,21.34
2553,Produto C,Categoria 3,88.77,17,2029-12-27,Vendedor 3,1509.09
2554,Produto C,Categoria 2,56.1,10,2029-12-28,Vendedor 2,561.0
2555,Produto A,Categoria 1,46.39,12,2029-12-29,Vendedor 1,556.6800000000001
2556,Produto B,Categoria 2,24.58,2,2029-12-30,Vendedor 1,49.16
2557,Produto A,Categoria 2,73.07,16,2029-12-31,Vendedor 2,1169.12
2558,Produto A,Categoria 1,93.41,15,2030-01-01,Vendedor 2,1401.1499999999999
2559,Produto A,Categoria 2,43.78,13,2030-01-02,Vendedor 2,569.14
2560,Produto B,Categoria 1,31.74,18,2030-01-03,Vendedor 2,571.3199999999999
2561,Produto A,Categoria 2,59.94,14,2030-01-04,Vendedor 1,839.16
2562,Produto B,Categoria 1,81.66,18,2030-01-05,Vendedor 3,1469.8799999999999
2563,Produto A,Categoria 3,10.34,2,2030-01-06,Vendedor 3,20.68
2564,Produto C,Categoria 2,66.82,2,2030-01-07,Vendedor 2,133.64
2565,Produto A,Categoria 1,63.69,3,2030-01-08,Vendedor 2,191.07
2566,Produto A,Categoria 2,38.63,5,2030-01-09,Vendedor 3,193.15
2567,Produto C,Categoria 2,50.63,16,2030-01-10,Vendedor 1,810.08
2568,Produto B,Categoria 2,32.23,15,2030-01-11,Vendedor 2,483.44999999999993
2569,Produto B,Categoria 1,81.09,12,2030-01-12,Vendedor 2,973.08
2570,Produto A,Categoria 3,67.11,9,2030-01-13,Vendedor 1,603.99
2571,Produto C,Categoria 3,57.94,14,2030-01-14,Vendedor 1,811.16
2572,Produto B,Categoria 3,45.33,16,2030-01-15,Vendedor 1,725.28
2573,Produto A,Categoria 1,36.22,11,2030-01-16,Vendedor 2,398.41999999999996
2574,Produto C,Categoria 3,84.05,6,2030-01-17,Vendedor 1,504.29999999999995
2575,Produto B,Categoria 1,50.63,10,2030-01-18,Vendedor 2,506.3
2576,Produto B,Categoria 2,55.13,8,2030-01-19,Vendedor 2,441.04
2577,Produto C,Categoria 2,56.87,16,2030-01-20,Vendedor 1,909.92
2578,Produto C,Categoria 3,50.35,3,2030-01-21,Vendedor 3,151.05
2579,Produto C,Categoria 1,33.05,2,2030-01-22,Vendedor 1,66.1
2580,Produto C,Categoria 2,20.83,16,2030-01-23,Vendedor 3,333.28
2581,Produto A,Categoria 1,18.87,19,2030-01-24,Vendedor 1,358.53000000000003
2582,Produto C,Categoria 1,78.17,9,2030-01-25,Vendedor 1,703.53
2583,Produto B,Categoria 2,30.12,16,2030-01-26,Vendedor 2,481.92
2584,Produto B,Categoria 1,15.01,4,2030-01-27,Vendedor 2,60.04
2585,Produto A,Categoria 2,81.78,10,2030-01-28,Vendedor 2,817.8
2586,Produto B,Categoria 2,23.87,19,2030-01-29,Vendedor 2,453.53000000000003
2587,Produto B,Categoria 2,66.26,13,2030-01-30,Vendedor 2,861.3800000000001
2588,Produto C,Categoria 1,40.48,18,2030-01-31,Vendedor 2,728.64
2589,Produto B,Categoria 2,21.38,15,2030-02-01,Vendedor 2,320.7
2590,Produto A,Categoria 1,47.3,4,2030-02-02,Vendedor 3,189.2
2591,Produto C,Categoria 2,11.33,9,2030-02-03,Vendedor 3,101.97
2592,Produto C,Categoria 2,85.69,4,2030-02-04,Vendedor 2,342.76
2593,Produto A,Categoria 3,56.21,16,2030-02-05,Vendedor 3,899.36
2594,Produto C,Categoria 3,22.52,15,2030-02-06,Vendedor 1,337.8
2595,Produto C,Categoria 3,31.33,2,2030-02-07,Vendedor 3,62.66
2596,Produto A,Categoria 1,50.32,14,2030-02-08,Vendedor 2,704.48
2597,Produto C,Categoria 1,27.0,3,2030-02-09,Vendedor 3,81.0
2598,Produto A,Categoria 2,34.17,4,2030-02-10,Vendedor 1,136.68
2599,Produto A,Categoria 2,58.09,1,2030-02-11,Vendedor 3,58.09
2600,Produto B,Categoria 2,84.93,9,2030-02-12,Vendedor 2,764.3700000000001
2601,Produto B,Categoria 2,46.17,17,2030-02-13,Vendedor 1,784.89
2602,Produto C,Categoria 1,74.53,14,2030-02-14,Vendedor 1,1043.42
2603,Produto C,Categoria 2,88.9,17,2030-02-15,Vendedor 3,1511.3000000000002
2604,Produto A,Categoria 2,29.47,1,2030-02-16,Vendedor 1,29.47
2605,Produto C,Categoria 3,82.65,10,2030-02-17,Vendedor 1,826.5
2606,Produto A,Categoria 2,78.17,16,2030-02-18,Vendedor 1,1250.72
2607,Produto A,Categoria 2,42.12,19,2030-02-19,Vendedor 2,800.28
2608,Produto C,Categoria 2,99.06,3,2030-02-20,Vendedor 1,297.18
2609,Produto A,Categoria 1,33.63,12,2030-02-21,Vendedor 3,403.56000000000006
2610,Produto B,Categoria 3,32.93,3,2030-02-22,Vendedor 3,98.78999999999999
2611,Produto C,Categoria 2,79.5,15,2030-02-23,Vendedor 1,1192.5
2612,Produto B,Categoria 2,49.12,17,2030-02-24,Vendedor 3,835.04
2613,Produto C,Categoria 3,39.77,18,2030-02-25,Vendedor 1,715.86
2614,Produto A,Categoria 2,26.08,7,2030-02-26,Vendedor 3,182.56
2615,Produto C,Categoria 1,78.88,19,2030-02-27,Vendedor 1,1498.7199999999998
2616,Produto B,Categoria 2,80.77,7,2030-02-28,Vendedor 1,565.39
2617,Produto A,Categoria 1,60.99,5,2030-03-01,Vendedor 1,304.95
2618,Produto C,Categoria 1,96.16,8,2030-03-02,Vendedor 2,769.28
2619,Produto C,Categoria 2,38.63,16,2030-03-03,Vendedor 3,618.08
2620,Produto C,Categoria 3,29.77,16,2030-03-04,Vendedor 1,476.32
2621,Produto B,Categoria 1,70.97,19,2030-03-05,Vendedor 2,1348.43
2622,Produto B,Categoria 3,78.26,15,2030-03-06,Vendedor 2,1173.9
2623,Produto C,Categoria 2,30.24,7,2030-03-07,Vendedor 1,211.67999999999998
2624,Produto A,Categoria 1,16.89,5,2030-03-08,Vendedor 1,84.45
2625,Produto A,Categoria 2,82.95,11,2030-03-09,Vendedor 1,912.45
2626,Produto B,Categoria 3,97.89,10,2030-03-10,Vendedor 1,978.9
2627,Produto A,Categoria 2,68.02,9,2030-03-11,Vendedor 1,612.18
2628,Produto B,Categoria 2,35.01,1,2030-03-12,Vendedor 3,35.01
2629,Produto C,Categoria 1,99.7,1,2030-03-13,Vendedor 1,99.7
2630,Produto B,Categoria 2,90.39,8,2030-03-14,Vendedor 1,723.12
2631,Produto B,Categoria 2,56.2,3,2030-03-15,Vendedor 3,168.60000000000002
2632,Produto C,Categoria 2,84.28,2,2030-03-16,Vendedor 2,168.56
2633,Produto A,Categoria 1,83.42,4,2030-03-17,Vendedor 3,333.68
2634,Produto B,Categoria 3,94.13,19,2030-03-18,Vendedor 2,1788.4699999999998
2635,Produto B,Categoria 3,85.68,11,2030-03-19,Vendedor 2,942.48
2636,Produto C,Categoria 2,67.93,5,2030-03-20,Vendedor 3,339.65000000000003
2637,Produto A,Categoria 1,64.84,10,2030-03-21,Vendedor 1,648.4000000000001
2638,Produto B,Categoria 2,52.06,8,2030-03-22,Vendedor 2,416.48
2639,Produto C,Categoria 3,66.38,13,2030-03-23,Vendedor 1,862.9399999999999
2640,Produto B,Categoria 1,81.57,5,2030-03-24,Vendedor 3,407.84999999999997
2641,Produto C,Categoria 3,97.21,12,2030-03-25,Vendedor 2,1166.52
2642,Produto A,Categoria 3,52.06,13,2030-03-26,Vendedor 1,676.78
2643,Produto A,Categoria 1,61.63,8,2030-03-27,Vendedor 2,493.04
2644,Produto A,Categoria 1,50.03,15,2030-03-28,Vendedor 2,750.45
2645,Produto A,Categoria 2,70.16,13,2030-03-29,Vendedor 3,912.0799999999999
2646,Produto B,Categoria 2,66.69,1,2030-03-30,Vendedor 1,66.69
2647,Produto B,Categoria 3,11.61,6,2030-03-31,Vendedor 1,69.66
2648,Produto A,Categoria 1,58.7,11,2030-04-01,Vendedor 2,645.7
2649,Produto A,Categoria 1,17.96,13,2030-04-02,Vendedor 1,233.48000000000002
2650,Produto A,Categoria 2,12.37,1,2030-04-03,Vendedor 2,12.37
2651,Produto B,Categoria 3,81.21,11,2030-04-04,Vendedor 3,893.31
2652,Produto A,Categoria 3,33.28,11,2030-04-05,Vendedor 3,366.08000000000004
2653,Produto A,Categoria 2,40.66,8,2030-04-06,Vendedor 1,325.28
2654,Produto A,Categoria 1,15.77,3,2030-04-07,Vendedor 3,47.31
2655,Produto C,Categoria 2,26.16,19,2030-04-08,Vendedor 3,497.04
2656,Produto A,Categoria 2,78.9,12,2030-04-09,Vendedor 1,946.8000000000001
2657,Produto C,Categoria 2,54.42,6,2030-04-10,Vendedor 2,326.52
2658,Produto C,Categoria 2,89.26,8,2030-04-11,Vendedor 3,714.08
2659,Produto A,Categoria 1,45.75,5,2030-04-12,Vendedor 1,228.75
2660,Produto C,Categoria 2,34.18,10,2030-04-13,Vendedor 1,341.8
2661,Produto A,Categoria 1,41.28,16,2030-04-14,Vendedor 1,660.48
2662,Produto B,Categoria 2,74.15,12,2030-04-15,Vendedor 3,889.8000000000001
2663,Produto B,Categoria 3,59.95,17,2030-04-16,Vendedor 3,1019.1500000000001
2664,Produto B,Categoria 1,91.38,6,2030-04-17,Vendedor 2,548.28
2665,Produto B,Categoria 3,64.2,9,2030-04-18,Vendedor 2,577.8000000000001
2666,Produto C,Categoria 2,54.37,10,2030-04-19,Vendedor 2,543.6999999999999
2667,Produto A,Categoria 2,80.72,14,2030-04-20,Vendedor 2,1130.08
2668,Produto A,Categoria 2,95.28,14,2030-04-21,Vendedor 2,1333.92
2669,Produto A,Categoria 1,42.03,17,2030-04-22,Vendedor 2,714.51
2670,Produto B,Categoria 3,32.49,16,2030-04-23,Vendedor 1,519.84
2671,Produto B,Categoria 1,65.46,4,2030-04-24,Vendedor 2,261.84
2672,Produto A,Categoria 1,54.9,2,2030-04-25,Vendedor 3,109.8
2673,Produto B,Categoria 2,99.03,16,2030-04-26,Vendedor 2,1584.48
2674,Produto A,Categoria 3,51.61,1,2030-04-27,Vendedor 3,51.61
2675,Produto A,Categoria 2,16.69,3,2030-04-28,Vendedor 2,50.07000000000001
2676,Produto A,Categoria 1,97.96,11,2030-04-29,Vendedor 1,1077.56
2677,Produto A,Categoria 2,85.92,16,2030-04-30,Vendedor 1,1374.72
2678,Produto A,Categoria 3,26.04,18,2030-05-01,Vendedor 3,468.71999999999997
2679,Produto A,Categoria 2,91.41,15,2030-05-02,Vendedor 2,1371.1499999999999
2680,Produto A,Categoria 3,40.66,9,2030-05-03,Vendedor 1,365.93999999999994
2681,Produto B,Categoria 3,43.94,12,2030-05-04,Vendedor 1,527.28
2682,Produto A,Categoria 2,91.58,18,2030-05-05,Vendedor 2,1648.44
2683,Produto A,Categoria 1,57.71,5,2030-05-06,Vendedor 3,288.55
2684,Produto B,Categoria 2,22.4,8,2030-05-07,Vendedor 3,179.2
2685,Produto B,Categoria 1,43.22,3,2030-05-08,Vendedor 3,129.66
2686,Produto B,Categoria 1,74.99,2,2030-05-09,Vendedor 1,149.98
2687,Produto A,Categoria 2,25.68,19,2030-05-10,Vendedor 2,487.92
2688,Produto C,Categoria 1,63.12,8,2030-05-11,Vendedor 1,504.96
2689,Produto C,Categoria 1,72.57,2,2030-05-12,Vendedor 1,145.14
2690,Produto B,Categoria 2,40.95,19,2030-05-13,Vendedor 1,778.0500000000001
2691,Produto C,Categoria 2,72.45,1,2030-05-14,Vendedor 1,72.45
2692,Produto B,Categoria 2,89.58,13,2030-05-15,Vendedor 2,1164.54
2693,Produto A,Categoria 1,52.49,17,2030-05-16,Vendedor 1,892.33
2694,Produto C,Categoria 3,44.46,3,2030-05-17,Vendedor 1,133.38
2695,Produto A,Categoria 1,32.6,9,2030-05-18,Vendedor 3,293.40000000000003
2696,Produto C,Categoria 3,64.38,5,2030-05-19,Vendedor 1,321.9
2697,Produto A,Categoria 2,89.19,6,2030-05-20,Vendedor 2,535.14
2698,Produto C,Categoria 3,39.22,4,2030-05-21,Vendedor 1,156.88
2699,Produto A,Categoria 2,45.66,17,2030-05-22,Vendedor 2,776.2199999999999
2700,Produto A,Categoria 2,46.6,16,2030-05-23,Vendedor 2,745.6
2701,Produto C,Categoria 3,60.47,16,2030-05-24,Vendedor 2,967.52
2702,Produto A,Categoria 2,30.56,11,2030-05-25,Vendedor 3,336.15999999999997
2703,Produto A,Categoria 3,84.0,2,2030-05-26,Vendedor 3,168.0
2704,Produto A,Categoria 2,36.6,17,2030-05-27,Vendedor 1,622.2
2705,Produto C,Categoria 1,73.48,15,2030-05-28,Vendedor 1,1102.2
2706,Produto C,Categoria 1,56.19,18,2030-05-29,Vendedor 1,1011.42
2707,Produto A,Categoria 2,62.73,10,2030-05-30,Vendedor 2,627.3
2708,Produto A,Categoria 2,26.16,6,2030-05-31,Vendedor 2,156.96
2709,Produto C,Categoria 3,76.15,16,2030-06-01,Vendedor 2,1218.4
2710,Produto C,Categoria 1,26.98,5,2030-06-02,Vendedor 1,134.9
2711,Produto A,Categoria 3,20.21,12,2030-06-03,Vendedor 1,242.52
2712,Produto A,Categoria 2,59.2,6,2030-06-04,Vendedor 1,355.20000000000005
2713,Produto A,Categoria 2,73.84,14,2030-06-05,Vendedor 1,1033.76
2714,Produto B,Categoria 3,14.5,16,2030-06-06,Vendedor 3,232.0
2715,Produto C,Categoria 2,16.25,7,2030-06-07,Vendedor 3,113.75
2716,Produto B,Categoria 1,82.24,2,2030-06-08,Vendedor 3,164.48
2717,Produto C,Categoria 3,82.81,6,2030-06-09,Vendedor 1,496.86
2718,Produto C,Categoria 1,32.08,9,2030-06-10,Vendedor 3,288.71999999999997
2719,Produto C,Categoria 1,65.37,7,2030-06-11,Vendedor 3,457.59000000000003
2720,Produto C,Categoria 1,49.89,2,2030-06-12,Vendedor 1,99.78
2721,Produto C,Categoria 3,66.94,19,2030-06-13,Vendedor 3,1271.86
2722,Produto C,Categoria 2,87.66,8,2030-06-14,Vendedor 1,701.28
2723,Produto C,Categoria 1,17.19,11,2030-06-15,Vendedor 1,189.09
2724,Produto B,Categoria 1,80.02,4,2030-06-16,Vendedor 1,320.08
2725,Produto A,Categoria 1,54.37,16,2030-06-17,Vendedor 2,869.92
2726,Produto A,Categoria 2,60.77,18,2030-06-18,Vendedor 1,1093.8600000000001
2727,Produto B,Categoria 2,68.85,13,2030-06-19,Vendedor 3,895.05
2728,Produto B,Categoria 3,93.04,5,2030-06-20,Vendedor 3,465.20000000000005
2729,Produto B,Categoria 2,15.1,2,2030-06-21,Vendedor 1,30.2
2730,Produto B,Categoria 3,12.65,11,2030-06-22,Vendedor 2,139.15
2731,Produto C,Categoria 3,26.04,1,2030-06-23,Vendedor 2,26.04
2732,Produto A,Categoria 3,98.78,13,2030-06-24,Vendedor 2,1284.14
2733,Produto C,Categoria 3,74.36,5,2030-06-25,Vendedor 3,371.8
2734,Produto A,Categoria 3,65.32,18,2030-06-26,Vendedor 2,1175.7599999999998
2735,Produto A,Categoria 1,14.23,14,2030-06-27,Vendedor 2,199.22
2736,Produto B,Categoria 2,89.12,13,2030-06-28,Vendedor 1,1158.56
2737,Produto C,Categoria 1,83.15,7,2030-06-29,Vendedor 2,582.0500000000001
2738,Produto B,Categoria 3,69.83,8,2030-06-30,Vendedor 2,558.64
2739,Produto C,Categoria 2,40.52,18,2030-07-01,Vendedor 2,729.36
2740,Produto A,Categoria 1,16.35,7,2030-07-02,Vendedor 1,114.45000000000002
2741,Produto B,Categoria 1,62.2,17,2030-07-03,Vendedor 1,1057.4
2742,Produto B,Categoria 3,74.77,16,2030-07-04,Vendedor 2,1196.32
2743,Produto A,Categoria 1,18.48,11,2030-07-05,Vendedor 3,203.28
2744,Produto A,Categoria 1,67.04,19,2030-07-06,Vendedor 3,1273.7600000000002
2745,Produto A,Categoria 1,35.77,1,2030-07-07,Vendedor 1,35.77
2746,Produto B,Categoria 1,78.78,8,2030-07-08,Vendedor 2,630.24
2747,Produto C,Categoria 1,58.57,1,2030-07-09,Vendedor 3,58.57
2748,Produto B,Categoria 3,21.61,9,2030-07-10,Vendedor 2,194.49
2749,Produto C,Categoria 3,57.39,19,2030-07-11,Vendedor 1,1090.41
2750,Produto B,Categoria 1,45.62,9,2030-07-12,Vendedor 3,410.58
2751,Produto B,Categoria 3,26.23,10,2030-07-13,Vendedor 1,262.3
2752,Produto A,Categoria 3,85.74,11,2030-07-14,Vendedor 2,943.14
2753,Produto C,Categoria 2,10.99,1,2030-07-15,Vendedor 1,10.99
2754,Produto B,Categoria 1,38.09,8,2030-07-16,Vendedor 1,304.72
2755,Produto B,Categoria 3,11.13,12,2030-07-17,Vendedor 1,133.56
2756,Produto A,Categoria 3,18.64,1,2030-07-18,Vendedor 1,18.64
2757,Produto A,Categoria 1,36.74,10,2030-07-19,Vendedor 3,367.40000000000003
2758,Produto C,Categoria 2,14.88,4,2030-07-20,Vendedor 2,59.52
2759,Produto B,Categoria 1,63.7,15,2030-07-21,Vendedor 3,955.5
2760,Produto C,Categoria 2,17.82,19,2030-07-22,Vendedor 2,338.58
2761,Produto B,Categoria 1,73.15,6,2030-07-23,Vendedor 2,438.90000000000003
2762,Produto C,Categoria 1,14.74,5,2030-07-24,Vendedor 2,73.7
2763,Produto A,Categoria 1,15.34,5,2030-07-25,Vendedor 2,76.7
2764,Produto B,Categoria 1,37.48,18,2030-07-26,Vendedor 2,674.64
2765,Produto C,Categoria 2,90.69,3,2030-07-27,Vendedor 3,272.07
2766,Produto A,Categoria 2,67.73,2,2030-07-28,Vendedor 2,135.46
2767,Produto A,Categoria 3,79.31,4,2030-07-29,Vendedor 1,317.24
2768,Produto C,Categoria 1,22.74,18,2030-07-30,Vendedor 3,409.32
2769,Produto B,Categoria 2,85.07,9,2030-07-31,Vendedor 3,765.6299999999999
2770,Produto B,Categoria 2,10.73,19,2030-08-01,Vendedor 2,203.87
2771,Produto A,Categoria 2,29.18,10,2030-08-02,Vendedor 1,291.8
2772,Produto B,Categoria 1,65.45,15,2030-08-03,Vendedor 1,981.75
2773,Produto B,Categoria 3,43.77,1,2030-08-04,Vendedor 2,43.77
2774,Produto B,Categoria 2,98.58,11,2030-08-05,Vendedor 2,1084.3799999999999
2775,Produto A,Categoria 1,12.73,14,2030-08-06,Vendedor 1,178.22
2776,Produto C,Categoria 2,99.87,10,2030-08-07,Vendedor 3,998.7
2777,Produto B,Categoria 2,66.13,19,2030-08-08,Vendedor 3,1256.4699999999998
2778,Produto A,Categoria 3,60.28,16,2030-08-09,Vendedor 2,964.48
2779,Produto A,Categoria 2,15.36,8,2030-08-10,Vendedor 3,122.88
2780,Produto C,Categoria 2,34.6,2,2030-08-11,Vendedor 3,69.2
2781,Produto B,Categoria 1,93.22,7,2030-08-12,Vendedor 1,652.54
2782,Produto B,Categoria 1,41.88,19,2030-08-13,Vendedor 3,795.72
2783,Produto C,Categoria 3,69.55,7,2030-08-14,Vendedor 1,486.84999999999997
2784,Produto C,Categoria 1,99.95,15,2030-08-15,Vendedor 2,1499.25
2785,Produto A,Categoria 1,33.68,8,2030-08-16,Vendedor 2,269.44
2786,Produto A,Categoria 3,61.85,14,2030-08-17,Vendedor 1,865.9
2787,Produto C,Categoria 2,72.68,1,2030-08-18,Vendedor 1,72.68
2788,Produto B,Categoria 3,24.82,13,2030-08-19,Vendedor 2,322.66
2789,Produto A,Categoria 1,23.38,3,2030-08-20,Vendedor 1,70.14
2790,Produto A,Categoria 3,51.07,6,2030-08-21,Vendedor 2,306.42
2791,Produto B,Categoria 2,44.72,19,2030-08-22,Vendedor 2,849.68
2792,Produto A,Categoria 3,74.28,15,2030-08-23,Vendedor 2,1114.2
2793,Produto B,Categoria 1,16.26,4,2030-08-24,Vendedor 2,65.04
2794,Produto B,Categoria 1,97.49,3,2030-08-25,Vendedor 2,292.46999999999997
2795,Produto B,Categoria 3,11.28,4,2030-08-26,Vendedor 2,45.12
